car_park_no,address,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,Lat,Lon
BKE1,BLK 668 CHANDER ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.2878923575960586,103.87139422293265
BKE2,BLK 681/682 RACE COURSE ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,2.3,N,1.291800965575494,103.87766285696496
BKE3,BLK 682/683 RACE COURSE ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,2.3,N,1.2921239172833954,103.8779481496365
BKE4,BLK 684/685 RACE COURSE ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.0,N,1.2931707720237036,103.87798309155214
BKE7,BLK 678 PERUMAL ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,1.9,N,1.2916419716993068,103.87615746871515
BKE9,BLK 668 CHANDER ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.2877589682377153,103.87091560436606
BKRM,BLK 6A BOON KENG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.2977271072836714,103.88079096291156
BLM,BLK 10 BENDEMEER ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,7,2.15,N,1.2973151484679473,103.87903247902527
BL10,BLK 188/191 BOON LAY DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.14681463249671,103.90710479342752
BL13,BLK 198/206 BOON LAY DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.1504480405735273,103.90802941670233
BL15,BLK 257A BOON LAY DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,1.1429267916428638,103.90930022592654
BL17,BLK 268 BOON LAY DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.1431064842304204,103.91118761210865
BL18,BLK 208A BOON LAY PLACE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.1498327618003132,103.9098743489494
BL19,BLK 212A BOON LAY PLACE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.1487476812114357,103.91208764190574
BL20,180 BOON LAY DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.15,N,1.1435438787300884,103.9114131409403
BL21,183 BOON LAY AVENUE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.1447501260864457,103.91256418115468
BL22,BLK 196 BOON LAY DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.1491543664890067,103.90589430966496
BL23,BLK 216 BOON LAY AVENUE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,16,2.15,N,1.1469704403940757,103.91286590497018
BL3,BLK 174/179 BOON LAY DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.1446099709246798,103.91019751024959
BL8,BLK 221 BOON LAY PLACE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.1487931517654548,103.90875724629836
BL8L,BLK 221 BOON LAY PLACE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.5,N,1.1474574846994772,103.90955154151423
BL9,BLK 185/187 BOON LAY AVENUE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.15,N,1.146104963726147,103.90920015273241
BMVM,BLK 126A BUKIT MERAH VIEW,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,1.9,N,1.259241060069311,103.8483507323259
BM1,BLK 28 JALAN BUKIT MERAH,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.2455954538642873,103.85001632805687
BM10,BLK 56/57 LENGKOK BAHRU,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2501229568829977,103.85179804711274
BM12,BLK 55 LENGKOK BAHRU,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2493228589714998,103.85137681727022
BM13,BLK 44/47 LENGKOK BAHRU,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.248232771392594,103.85060798607785
BM14,BLK 34-36 JALAN RUMAH TINGGI,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,5.4,N,1.2448672330782602,103.85273669328268
BM19,BLK 88/89 REDHILL CLOSE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.2547858202516833,103.84942987827179
BM2,BLK 28 HOY FATT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,2.1,N,1.2459795242669913,103.85056086075659
BM20,BLK 89/90 REDHILL CLOSE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.2548437530823473,103.8489677272721
BM26,BLK 1/3/5 JALAN BUKIT MERAH,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.2434368453755225,103.85099879722283
BM27,BLK 115/116 BUKIT MERAH CENTRAL,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,4.5,N,1.2508407161868318,103.84778766950433
BM28,"BLK 117, 161 BUKIT MERAH CENTRAL",SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,9.99,N,1.2518876692656886,103.84772781797592
BM29,BLK 163 BUKIT MERAH CENTRAL,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,2.0,Y,1.2531719881707395,103.84736554448918
BM3,BLK 49/50 HOY FATT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.2475644310809608,103.85141232314906
BM30,BLK 164/165 BUKIT MERAH CENTRAL,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,9.99,N,1.2528038458581008,103.84696775582961
BM31,BLK 119 BUKIT MERAH CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,1.2526444012133242,103.84618762016777
BM33,BLKS 167-169 JALAN BUKIT MERAH,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,14,1.9,N,1.2547338891857058,103.84648443254562
BM36,JALAN BUKIT MERAH,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,4.5,N,1.2539356917336846,103.84654200809595
BM4,BLK 35A JALAN RUMAH TINGGI,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,2.15,N,1.2449751299722658,103.85137210813923
BM5,BLKS 8/10 JALAN RUMAH TINGGI,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,4.5,N,1.2436308310633597,103.85213144917427
BM6,BLK 61 LENGKOK BAHRU,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.249815660307606,103.85322616108428
BM9,BLK 58/59 LENGKOK BAHRU,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.2504130265629352,103.85279357927104
BP1,BLK 101/109 BUKIT PURMEI ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.260993205797949,103.83659570957171
BP2,BLK 110/115 BUKIT PURMEI ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,1.9,N,1.2631413358692696,103.8378840878704
BRBL,BLK 665 BUFFALO ROAD LOADING/UNLOADING BAYS,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,1.2869977816027636,103.87018003738994
BRB1,BLK 665 BUFFALO ROAD BASEMENT CAR PARK,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,1.8,Y,1.2868754937741333,103.86965330417374
